TICKER,date,PRC
HCP,2022-07-12,34.1700
HCP,2022-07-13,35.1900
HCP,2022-07-14,32.4700
HCP,2022-07-15,34.1400
HCP,2022-07-18,33.2500
HCP,2022-07-19,32.1100
HCP,2022-07-20,36.2500
HCP,2022-07-21,35.9900
HCP,2022-07-22,33.4400
HCP,2022-07-25,34.6800
HCP,2022-07-26,31.9900
HCP,2022-07-27,35.3700
HCP,2022-07-28,36.2100
HCP,2022-07-29,36.2400
HCP,2022-08-01,36.4800
HCP,2022-08-02,36.8700
HCP,2022-08-03,39.5000
HCP,2022-08-04,36.9100
HCP,2022-08-05,37.8200
HCP,2022-08-08,39.6700
HCP,2022-08-09,38.9200
HCP,2022-08-10,40.8500
HCP,2022-08-11,40.6200
HCP,2022-08-12,43.6200
HCP,2022-08-15,40.9900
HCP,2022-08-16,40.8900
HCP,2022-08-17,39.5000
HCP,2022-08-18,40.2400
HCP,2022-08-19,38.5800
HCP,2022-08-22,37.1300
HCP,2022-08-23,37.9100
HCP,2022-08-24,39.2400
HCP,2022-08-25,39.2500
HCP,2022-08-26,37.9600
HCP,2022-08-29,37.4900
HCP,2022-08-30,36.1900
HCP,2022-08-31,35.3500
HCP,2022-09-01,30.2600
HCP,2022-09-02,30.1100
HCP,2022-09-06,28.5500
HCP,2022-09-07,30.2300
HCP,2022-09-08,29.5400
HCP,2022-09-09,30.7000
HCP,2022-09-12,32.5600
HCP,2022-09-13,30.8400
HCP,2022-09-14,32.0500
HCP,2022-09-15,31.4400
HCP,2022-09-16,30.0700
HCP,2022-09-19,30.2700
HCP,2022-09-20,29.2700
HCP,2022-09-21,29.1300
HCP,2022-09-22,27.1200
HCP,2022-09-23,27.7600
HCP,2022-09-26,28.9300
HCP,2022-09-27,29.7200
HCP,2022-09-28,32.8300
HCP,2022-09-29,32.4900
HCP,2022-09-30,32.1900
HCP,2022-10-03,31.7000
HCP,2022-10-04,33.3200
HCP,2022-10-05,33.6800
HCP,2022-10-06,33.0000
HCP,2022-10-07,32.2800
HCP,2022-10-10,29.2700
HCP,2022-10-11,28.7100
HCP,2022-10-12,28.6700
HCP,2022-10-13,28.9400
HCP,2022-10-14,27.3400
HCP,2022-10-17,29.5800
HCP,2022-10-18,30.8100
HCP,2022-10-19,29.6900
HCP,2022-10-20,30.5800
HCP,2022-10-21,30.5800
HCP,2022-10-24,30.9200
HCP,2022-10-25,33.9400
HCP,2022-10-26,30.8300
HCP,2022-10-27,31.0400
HCP,2022-10-28,31.8800
HCP,2022-10-31,30.7300
HCP,2022-11-01,30.2800
HCP,2022-11-02,27.8600
HCP,2022-11-03,26.5100
HCP,2022-11-04,23.8100
HCP,2022-11-07,22.6000
HCP,2022-11-08,22.8400
HCP,2022-11-09,22.0400
HCP,2022-11-10,25.9600
HCP,2022-11-11,29.5000
HCP,2022-11-14,28.8900
HCP,2022-11-15,29.9800
HCP,2022-11-16,27.6600
HCP,2022-11-17,25.4300
HCP,2022-11-18,24.6800
HCP,2022-11-21,24.6000
HCP,2022-11-22,25.0200
HCP,2022-11-23,27.7700
HCP,2022-11-25,27.5000
HCP,2022-11-28,26.8300
HCP,2022-11-29,26.3100
HCP,2022-11-30,27.3000
HCP,2022-12-01,27.3500
HCP,2022-12-02,27.4500
HCP,2022-12-05,26.1100
HCP,2022-12-06,25.4700
HCP,2022-12-07,26.7200
HCP,2022-12-08,28.9000
HCP,2022-12-09,29.6300
HCP,2022-12-12,31.4400
HCP,2022-12-13,31.7700
HCP,2022-12-14,30.3700
HCP,2022-12-15,28.2000
HCP,2022-12-16,29.0200
HCP,2022-12-19,27.1000
HCP,2022-12-20,26.8300
HCP,2022-12-21,27.0200
HCP,2022-12-22,26.7600
HCP,2022-12-23,26.6100
HCP,2022-12-27,25.5400
HCP,2022-12-28,25.5200
HCP,2022-12-29,27.1400
HCP,2022-12-30,27.3400
HCP,2023-01-03,25.9200
HCP,2023-01-04,25.9200
HCP,2023-01-05,23.9200
HCP,2023-01-06,24.3300
HCP,2023-01-09,26.4700
HCP,2023-01-10,27.5600
HCP,2023-01-11,28.8000
HCP,2023-01-12,29.5000
HCP,2023-01-13,29.2600
HCP,2023-01-17,29.4500
HCP,2023-01-18,28.7900
HCP,2023-01-19,27.4000
HCP,2023-01-20,28.4300
HCP,2023-01-23,29.4200
HCP,2023-01-24,29.0200
HCP,2023-01-25,28.9800
HCP,2023-01-26,30.0600
HCP,2023-01-27,31.8300
HCP,2023-01-30,31.2700
HCP,2023-01-31,32.1800
HCP,2023-02-01,33.3500
HCP,2023-02-02,37.2800
HCP,2023-02-03,33.7300
HCP,2023-02-06,32.8200
HCP,2023-02-07,33.4900
HCP,2023-02-08,32.5700
HCP,2023-02-09,31.3000
HCP,2023-02-10,30.2500
