firm,ticker,quarter_end,revenue_ltm,growth_yoy,op_margin_ltm,market_cap,net_debt,ev,ev_rev,log_ev_rev,priced_at,priced_at_filing,log_ev_rev_qend,log_rev,active_contributors,top_author_share,contributor_gini,bus_factor_50,churn_gini,release_cadence,merge_share,commit_volume,secret_incidence,repo_health_index_z,repo_health_index_pca
confluent,CFLT,2025-03-31,1017525000.0,0.24105516979778918,-0.40193017370580575,7994348026.62,814533000.0,8808881026.619999,8.657164223601384,2.1583872120896768,2025-04-30,1,2.1441840460837875,20.740639045003757,280,0.058,0.7366,17,0.7893,26,0.0,2844,0.0,0.2526662750550286,0.3770230569471181
confluent,CFLT,2025-06-30,1064824000.0,0.23017417062158896,-0.37289073123821403,8936166254.4,798460000.0,9734626254.4,9.142004927011412,2.2128797188518066,2025-07-30,1,2.160412422967995,20.786075364235195,254,0.0613,0.7485,15,0.7888,27,0.0,2789,0.0,0.20252000794704986,0.2313644525913464
confluent,CFLT,2025-09-30,1113149000.0,0.21575109817978477,-0.34740362700770516,7531168855.679999,796482000.0,8327650855.679999,7.4811645661811665,2.012388470533783,2025-10-27,1,1.9143514236380645,20.8304587726966,250,0.0633,0.7347,17,0.7873,30,0.0,2543,0.0,0.22529670175737043,0.2770745703808248
confluent,CFLT,2025-12-31,1166748000.0,0.2107691445578337,-0.3257790028352309,10489338000.0,748778000.0,11238116000.0,9.631999369186834,2.265090823075063,2026-02-11,1,2.2567965954533133,20.877486228629454,236,0.055,0.7152,18,0.8018,22,0.0,2183,0.0,0.19898975452113815,0.3969305381584788
couchbase,BASE,2022-04-30,130440000.0,,-0.4686982520699172,697616400.0,-47672000.0,649944400.0,4.982707758356333,1.6059734698484032,2022-06-10,1,1.687047544398162,18.68642390888539,24,0.2789,0.7357,3,0.7644,13,0.0889,1800,0.0,-0.9704185298583334,-3.2971086658451774
couchbase,BASE,2022-07-31,140532000.0,,-0.44388466683744626,693560400.0,-46338000.0,647222400.0,4.605516181367944,1.5272547549277553,2022-09-09,1,1.5015101488312335,18.760945778812275,23,0.2538,0.7168,3,0.7585,13,0.0956,1789,0.0,-0.9003589640552259,-3.1849868354383166
couchbase,BASE,2022-10-31,148265000.0,,-0.42815903955754897,646083120.0,-38781000.0,607302120.0,4.096058543823559,1.4100251805607373,2022-12-12,1,1.2782853024407332,18.814511771162163,24,0.2447,0.7207,3,0.7528,14,0.1019,1786,0.0,-0.8529667845347625,-3.1314266715399994
couchbase,BASE,2023-01-31,154824000.0,,-0.4477019066811347,616716990.0,-40446000.0,576270990.0,3.7221037436056426,1.3142890309121178,2023-03-29,1,1.3905767130066011,18.857799545862324,24,0.2817,0.7088,3,0.7374,17,0.1434,1736,0.0,-0.8901152683862679,-3.4325212032459316
couchbase,BASE,2023-04-30,160967000.0,0.23403097209444956,-0.45263936086278556,732571140.0,-46240000.0,686331140.0,4.263800282045388,1.450160847597134,2023-06-07,1,1.4078664584744087,18.896709932995634,21,0.2985,0.6699,3,0.739,17,0.1808,1648,0.0,-0.9588401521230331,-3.5971250966861024
couchbase,BASE,2023-07-31,164315000.0,0.1692354766174251,-0.4838024526062745,912740200.0,-41437000.0,871303200.0,5.302639442534157,1.6682047046185475,2023-09-07,1,1.4927097396828637,18.91729587524924,23,0.3014,0.7063,3,0.7172,28,0.2014,1440,0.0,-0.8790189106043597,-3.666019195659092
couchbase,BASE,2023-10-31,171571000.0,0.15719151519239194,-0.46887877321925037,910650759.9999999,-46907000.0,863743759.9999999,5.034322583653414,1.6162789756400444,2023-12-07,1,1.3772697843706312,18.960507733067423,21,0.2513,0.6804,3,0.729,28,0.2361,1381,0.0,-0.8160761788087256,-3.342266522315192
couchbase,BASE,2024-01-31,180037000.0,0.16284942902909116,-0.4695534806734171,1225606500.0,-41351000.0,1184255500.0,6.577845109616357,1.883707200760594,2024-03-26,1,1.8438863187727073,19.008672943286392,25,0.2437,0.7172,3,0.7479,33,0.2179,1276,0.0,-0.8274304053491093,-3.1264152067631614
couchbase,BASE,2024-04-30,190368000.0,0.1826523448905677,-0.44410825348798116,916597080.0,-51975000.0,864622080.0,4.541845688350984,1.5133334687229094,2024-06-06,1,1.7984775857997992,19.06446959896977,26,0.2918,0.7488,3,0.7595,32,0.1992,1285,0.0,-0.9703018760890207,-3.3606961186330544
couchbase,BASE,2024-07-31,198818000.0,0.20998082950430574,-0.4211037230029474,810007100.0000001,-62607000.0,747400100.0000001,3.759217475278899,1.3242108174653007,2024-09-05,1,1.513178876528239,19.10790039134751,26,0.3167,0.7606,3,0.7691,23,0.1806,1279,0.0,-1.0595288544317543,-3.4762916429684436
couchbase,BASE,2024-10-31,204633000.0,0.19270156378408942,-0.41740579476428535,838038289.9999999,-33031000.0,805007289.9999999,3.9339074831527654,1.3696332024439588,2024-12-04,1,1.342760273855386,19.136728688798495,32,0.3599,0.801,2,0.7638,31,0.1534,1128,0.0,-1.1682921078381725,-3.848221249830392
couchbase,BASE,2025-01-31,209466000.0,0.16346084415981155,-0.3755024681809936,745534300.0,-30536000.0,714998300.0,3.413433683748198,1.227718730046699,2025-03-25,1,1.4350233701830168,19.160071992986378,30,0.3782,0.8101,2,0.7446,28,0.1329,1166,0.0,-1.1612427349071917,-4.079599683535413
couchbase,BASE,2025-04-30,214662000.0,0.1276159858799799,-0.34919082091846715,1026228850.0,-28046000.0,998182850.0,4.650021196112959,1.536871777892738,2025-06-04,1,1.453406946878821,19.184575256033785,29,0.3733,0.8052,2,0.7397,32,0.1433,1200,0.0,-1.1402086094674553,-4.086740373100761
couchbase,BASE,2025-07-31,220639000.0,0.10975364403625432,-0.35947407303332596,1324281400.0,-44110000.0,1280171400.0,5.802108421448611,1.758221372434061,2025-09-04,1,1.750573456107525,19.212038439729234,24,0.3633,0.7686,2,0.7464,37,0.1539,1280,0.0,-1.1728683327852198,-4.087504370912306
elastic,ESTC,2019-07-31,304719000.0,,-0.4110114564566043,6997854562.5,-315152000.0,6682702562.5,21.930705215296715,3.087887719473023,2019-09-10,1,3.094345270917025,19.534900598428003,338,0.0609,0.8242,17,0.7678,36,0.0231,6754,0.0,0.3505843719171753,0.36088201769616757
elastic,ESTC,2019-10-31,342250000.0,,-0.43866764061358654,4736770076.772366,-305246000.0,4431524076.772366,12.948207675010565,2.5609573750928143,2019-12-09,1,2.7516856626612936,19.65105202213283,355,0.0553,0.8306,16,0.758,36,0.0118,6708,0.0,0.39206344329507975,0.34316681566540674
elastic,ESTC,2020-01-31,384596000.0,,-0.43842369655430635,4003804913.6544647,-294076000.0,3709728913.6544647,9.645781322880282,2.266520651151395,2020-03-09,1,2.513281619178225,19.76770399064885,359,0.0628,0.8284,16,0.7652,32,0.0096,6116,0.0,0.3534432837795688,0.33284359483547615
elastic,ESTC,2020-04-30,427620000.0,,-0.4001332959169356,7258243362.61554,-297081000.0,6961162362.61554,16.278851229165006,2.7898667947655835,2020-06-26,1,2.3754753871286507,19.873745508706108,359,0.0619,0.8304,16,0.7065,25,0.0085,6364,0.0,0.5444004015753254,0.08262932798458184
elastic,ESTC,2020-07-31,466780000.0,0.5318375290021298,-0.3391790565148464,8429313188.803482,-350418000.0,8078895188.803482,17.307714959517295,2.8511523535141374,2020-09-03,1,2.809125838989213,19.96136861255735,358,0.084,0.8292,16,0.7231,24,0.0089,6537,0.0,0.4386868323266423,0.013833491793133215
elastic,ESTC,2020-10-31,510568000.0,0.4917983929875822,-0.26398442518920107,12064773697.183868,-348986000.0,11715787697.183868,22.946576552357115,3.133168755547694,2020-12-07,1,2.7883423892831547,20.051034389440705,338,0.0622,0.8225,18,0.7321,24,0.0083,6413,0.0,0.47415774007268574,0.23052626521281508
elastic,ESTC,2021-01-31,554502000.0,0.44177786560442645,-0.22898925522360605,10661874522.754578,-393134000.0,10268740522.754578,18.518852092065632,2.9187892452271753,2021-03-03,1,3.132892733604693,20.133580971601212,313,0.0582,0.8172,18,0.7269,23,0.0057,6611,0.0,0.4857484382835717,0.19398698608323905
elastic,ESTC,2021-04-30,608489000.0,0.4229666526355176,-0.212786098023136,12975542930.763153,-400814000.0,12574728930.763153,20.665499180368343,3.0284656035087902,2021-06-25,1,2.8111029280267537,20.226489392989347,274,0.0784,0.8153,15,0.7238,24,0.0063,6494,0.0,0.3858729308956971,-0.12153187212389013
elastic,ESTC,2021-07-31,672714000.0,0.44117999914306516,-0.19472316615976476,15640123785.2641,-425500000.0,15214623785.2641,22.616778876705553,3.1186920589875893,2021-09-01,1,2.967349220589102,20.3268308344338,250,0.1025,0.8085,15,0.7116,26,0.004,5978,0.0,0.3513574848244029,-0.3737896831377864
elastic,ESTC,2021-10-31,733800000.0,0.43722285768007385,-0.1904428999727446,10734844965.273804,-310014000.0,10424830965.273804,14.206638001190793,2.6537093202521413,2021-12-09,1,3.056886433374024,20.413747069885456,257,0.0898,0.8021,16,0.7102,26,0.0018,6103,0.0,0.4040217042431157,-0.2479639958440419
elastic,ESTC,2022-01-31,800629000.0,0.44387035574263023,-0.1887703293285654,6635988677.069054,-298092000.0,6337896677.069054,7.916146775933739,2.068904569247775,2022-03-10,1,2.2922086234365726,20.500908226699593,258,0.0736,0.7936,16,0.7181,35,0.0019,5790,0.0,0.41729624751604816,-0.10911052442482763
elastic,ESTC,2022-04-30,862374000.0,0.4172384381640424,-0.20139753749533265,7179807678.558884,-294429000.0,6885378678.558884,7.984214132799555,2.077466358889932,2022-06-21,1,2.0579213598368793,20.57519960924153,264,0.0596,0.7805,18,0.7452,38,0.0017,5284,0.0,0.3914563623002894,0.17818055627482984
elastic,ESTC,2022-07-31,919360000.0,0.36664317971678906,-0.22111795161851722,7734350172.966957,-281989000.0,7452361172.966957,8.106031557786892,2.092608421337805,2022-08-29,1,2.068839037879555,20.6391883337552,264,0.0641,0.7705,19,0.7489,38,0.0023,5289,0.0,0.3801714682403743,0.19763787277933528
